block,tick_lower_transformed,tick_upper_transformed,amount0_usd,amount1_usd,amount_usd_total,token1Price,pool_totalValueLockedUSD_at_block,feesUSD_real
12639864,40.25434249610941,40.29461495789101,0.0,356.8248596191406,356.8248679352821,44.26044,497013.0256323223,4.005352
12639864,40.29461495789101,40.3752807935306,0.0,714.1851806640625,714.1851694725394,44.26044,497013.0256323223,4.005352
12639864,40.3752807935306,40.41567424804637,0.0,367.5480041503906,367.548002780178,44.26044,497013.0256323223,4.005352
12639864,40.41567424804637,40.496582432416986,0.0,735.6475219726562,735.647529763717,44.26044,497013.0256323223,4.005352
12639864,40.496582432416986,40.53709724317194,0.0,368.0997009277344,368.09971087703576,44.26044,497013.0256323223,4.005352
12639864,40.53709724317194,40.61824850437499,0.0,736.7517700195312,736.7517738230889,44.26044,497013.0256323223,4.005352
12639864,40.61824850437499,40.65888503596623,0.0,381.09490966796875,381.0948952535959,44.26044,497013.0256323223,4.005352
12639864,40.65888503596623,40.69956222238039,0.0,381.2854919433594,381.28548081452334,44.26044,497013.0256323223,4.005352
12639864,40.69956222238039,40.78103872241059,0.0,763.1431274414062,763.1430996068582,44.26044,497013.0256323223,4.005352
12639864,40.78103872241059,40.82183811749501,0.0,381.8578186035156,381.8578095590369,44.26044,497013.0256323223,4.005352
12639864,40.82183811749501,40.862678330339136,0.0,382.04876708984375,382.04877665341616,44.26044,497013.0256323223,4.005352
12639864,40.862678330339136,40.90355940177911,0.0,422.221923828125,422.2219387676596,44.26044,497013.0256323223,4.005352
12639864,40.90355940177911,40.9444813726919,0.0,422.43310546875,422.4330919634597,44.26044,497013.0256323223,4.005352
12639864,40.9444813726919,40.985444283995406,0.0,422.64434814453125,422.64435075697526,44.26044,497013.0256323223,4.005352
12639864,40.985444283995406,41.02644817664845,0.0,422.855712890625,422.8557152010154,44.26044,497013.0256323223,4.005352
12639864,41.02644817664845,41.0674930916508,0.0,423.06719970703125,423.0671853484163,44.26044,497013.0256323223,4.005352
12639864,41.0674930916508,41.10857907004331,0.0,423.27874755859375,423.2787612520398,44.26044,497013.0256323223,4.005352
12639864,41.10857907004331,41.19087438136733,0.0,888.4822998046875,888.482319843662,44.26044,497013.0256323223,4.005352
12639864,41.19087438136733,41.27333443976895,0.0,889.3712158203125,889.3712020871861,44.26044,497013.0256323223,4.005352
12639864,41.27333443976895,41.35595957505553,0.0,890.260986328125,890.2609736130574,44.26044,497013.0256323223,4.005352
12639864,41.35595957505553,41.39733414977598,0.0,493.0822448730469,493.0822459596442,44.26044,497013.0256323223,4.005352
12639864,41.39733414977598,41.48020752022344,0.0,986.9043579101562,986.9043865475744,44.26044,497013.0256323223,4.005352
12639864,41.48020752022344,41.60482875021005,0.0,1482.2081298828125,1482.2081671155397,44.26044,497013.0256323223,4.005352
12639864,41.60482875021005,41.646452306126655,0.0,516.2603759765625,516.2603797869024,44.26044,497013.0256323223,4.005352
12639864,41.646452306126655,41.68811750433477,0.0,516.5185546875,516.5185616079967,44.26044,497013.0256323223,4.005352
12639864,41.68811750433477,41.8551955539285,0.0,2068.65869140625,2068.658647946319,44.26044,497013.0256323223,4.005352
12639864,41.8551955539285,41.93898551764312,0.0,1353.9735107421875,1353.973497872682,44.26044,497013.0256323223,4.005352
12639864,41.93898551764312,41.980943380737806,0.0,677.49462890625,677.4946328742291,44.26044,497013.0256323223,4.005352
12639864,41.980943380737806,42.02294322058166,0.0,677.8334350585938,677.8334479469048,44.26044,497013.0256323223,4.005352
12639864,42.02294322058166,42.06498507917033,0.0,678.1724243164062,678.1724324610018,44.26044,497013.0256323223,4.005352
12639864,42.06498507917033,42.107068998541465,0.0,678.5115966796875,678.5115865012575,44.26044,497013.0256323223,4.005352
12639864,42.107068998541465,42.19136318799212,0.0,1675.923095703125,1675.9230669197011,44.26044,497013.0256323223,4.005352
12639864,42.19136318799212,42.23357354235739,0.0,838.5902099609375,838.590182697197,44.26044,497013.0256323223,4.005352
12639864,42.23357354235739,42.36045815061348,0.0,2518.28759765625,2518.2876608746824,44.26044,497013.0256323223,4.005352
12639864,42.36045815061348,42.4028376760544,0.0,2384.565673828125,2384.565605706905,44.26044,497013.0256323223,4.005352
12639864,42.4028376760544,42.44525960009665,0.0,2385.758056640625,2385.758126990166,44.26044,497013.0256323223,4.005352
12639864,42.44525960009665,42.530230813698246,0.0,4775.09619140625,4775.096203647988,44.26044,497013.0256323223,4.005352
12639864,42.530230813698246,42.61537213126927,0.0,4779.87353515625,4779.873449218038,44.26044,497013.0256323223,4.005352
12639864,42.61537213126927,42.70068389334103,0.0,4831.58056640625,4831.580583905744,44.26044,497013.0256323223,4.005352
12639864,42.70068389334103,42.871820116522045,0.0,9677.6669921875,9677.66726986781,44.26044,497013.0256323223,4.005352
12639864,42.871820116522045,42.9576452621078,0.0,4922.5810546875,4922.581135647823,44.26044,497013.0256323223,4.005352
12639864,42.9576452621078,43.0006222434661,0.0,2463.136962890625,2463.137058834019,44.26044,497013.0256323223,4.005352
12639864,43.0006222434661,43.08670523817685,0.0,4929.97021484375,4929.970178301933,44.26044,497013.0256323223,4.005352
12639864,43.08670523817685,43.12981133760369,0.0,2466.83447265625,2466.834351837246,44.26044,497013.0256323223,4.005352
12639864,43.12981133760369,43.17296056253288,0.0,2579.749755859375,2579.749717649469,44.26044,497013.0256323223,4.005352
12639864,43.17296056253288,43.25938856152112,0.0,5163.37060546875,5163.370479073179,44.26044,497013.0256323223,4.005352
12639864,43.25938856152112,43.30266742199952,0.0,2583.6220703125,2583.6220521372848,44.26044,497013.0256323223,4.005352
12639864,43.30266742199952,43.38935508129765,0.0,5171.12109375,5171.120958680831,44.26044,497013.0256323223,4.005352
12639864,43.38935508129765,43.60683422773543,0.0,14916.2314453125,14916.231813685336,44.26044,497013.0256323223,4.005352
12639864,43.60683422773543,43.6504606902723,0.0,2987.7236328125,2987.7236191913667,44.26044,497013.0256323223,4.005352
12639864,43.6504606902723,43.69413079890885,0.0,3013.832763671875,3013.832732208359,44.26044,497013.0256323223,4.005352
12639864,43.69413079890885,43.73784459731083,0.0,3015.33984375,3015.3399499878765,44.26044,497013.0256323223,4.005352
12639864,43.73784459731083,43.91313756341785,0.0,12076.447265625,12076.44705859467,44.26044,497013.0256323223,4.005352
12639864,43.91313756341785,43.95707046716367,0.0,3073.2724609375,3073.272398858448,44.26044,497013.0256323223,4.005352
